id,name,price,city,state,zip_code,price_numeric
QoinB1-_xTQQPS5_jNqoQQ,LASO,$$,American Canyon,CA,94503,2.0
nYsjOjk3eIcLEQGpNvKigQ,La Strada,$$,American Canyon,CA,94503,2.0
khT8t8GzOoEE6C1dj38GIg,Le Paris Artisan & Gourmet Cafe,$$,American Canyon,CA,94503,2.0
CSYX9lbeXSqIJTh7GY3PdA,Ristorante Pasta D'oro,$$,American Canyon,CA,94503,2.0
vXCe-5mZ-Vwj9SFyUDUUCA,Maya Thai House,$$,Vallejo,CA,94590,2.0
ak3kIIlk2uz7HGILncSwtw,Bel King,$$,American Canyon,CA,94503,2.0
BpmH46scypR-BV5fqKA0yw,Tacon Hambre,$$,American Canyon,CA,94503,2.0
j1OVMOruD9GmpdZ9VKYaiw,Pho Huong Viet Noodle House,$$,Vallejo,CA,94589,2.0
DsGgy4OWayEC9rNytybztQ,Michael Warring,$$$$,Vallejo,CA,94591,4.0
Dxk7z0DnZf2mi-uv2QwsUg,FARM at Carneros,$$$,Napa,CA,94559,3.0
doR_bFEmub8lhnxGISTZRA,Mountain Mike's Pizza,$$,American Canyon,CA,94503,2.0
gph2An5H2eFIRlVk8jlAqw,South Kelly Grill,$$,American Canyon,CA,94503,2.0
f7xl7asCjkZRTwF82KP5uw,Olive & Hay,$$,Napa,CA,94558,2.0
3wKteY9xDdRK130QaeIbcQ,Bear at Stanly Ranch,,Napa,CA,94559,
XyqK3TnpcUhViuyGrWzlhQ,Junction Brewery and Grill,$$,American Canyon,CA,94503,2.0
0wKcGj4GCOHzUphmoiD1hw,Vaishnu Express Cafe,$,Vallejo,CA,94589,1.0
vXjfFU-LkqR_NcJD9VgiJQ,Hopulent,$$,Vallejo,CA,94590,2.0
2c5XSiyp3EbHK3lIirgp-w,Korean Mammas Cooking,$$,Vallejo,CA,94590,2.0
cZWKexjWVRck0IvuY2Joyw,Bud's Burgers,$,Vallejo,CA,94589,1.0
xNZ6qkvqJ_EJbsoFb0KcpQ,Thai Kitchen,$$,American Canyon,CA,94503,2.0
LEBWc091AqQ3BtmlWkiKBA,Boon Fly Cafe,$$,Napa,CA,94559,2.0
7_gyln_BHsu3ps3FVqYGyg,Pho Vallejo Noodle House,$$,Vallejo,CA,94591,2.0
rLzrB6uxP5BqbqN-k80JKA,Stockpot,$$,Vallejo,CA,94590,2.0
5YP7PuLkVX9E8ESMPgRVaw,Simple Thai,$,Vallejo,CA,94590,1.0
1VxBZ-4qmygsiM6j7IMWYg,Pho 1,$$,Vallejo,CA,94590,2.0
aMAtQuP1kl5dmqw17xckQA,Mi Zacatecas,$$,American Canyon,CA,94503,2.0
Ge-nE__gaGa2Lbrou4T2pA,Napoli Pizzeria & Italian Food,$$,Vallejo,CA,94590,2.0
p90XwvEfn9XdMf8kpItosg,Frymazing,$$,Vallejo,CA,94590,2.0
yZzPZ6fqaaT0uiILUqFNFA,Starbread Bakery,$,Vallejo,CA,94589,1.0
GIcPczTf6RifuOI0HsBZwA,Taj Grill,$$,Vallejo,CA,94591,2.0
zBuI_bSExVi-gRThn-Ny3g,Food Basket,$,Vallejo,CA,94590,1.0
17e9t5mppYNJVvC8oRMJrQ,Kob's Kitchen,,American Canyon,CA,94503,
vZ8LPmMEnXo-B_PrO7LqTQ,Tacos Michoacan,$,American Canyon,CA,94503,1.0
4JIliGHTw5loz9oF_R2UTQ,Tacos Jalisco,$,Vallejo,CA,94590,1.0
0NaEdJfS9WkQ0QBRpUKMJg,Hilo Hawaiian BBQ,$,American Canyon,CA,94503,1.0
s4yuPZxRWIXrtPHVKsO63A,The Loft Thai & Sushi Bar,$$,Vallejo,CA,94591,2.0
JGmxmGyqjGu3nhLjnrXfTw,Rumi Kabob,$$,Vallejo,CA,94590,2.0
fAzo6os6UatJo_fwqZ1ppg,Table 29 Bistro & Bar,$$,American Canyon,CA,94503,2.0
vOdbLlpTt4GRRszmQMtqsA,Napa River and Bay Trail,,American Canyon,CA,94503,
TciSo41G_rbu6Gk7Ez2r5A,Dunkin',$,American Canyon,CA,94503,1.0
OHjvEGGTTTC86tTl-mvqyw,Picnicky's Sandwich Shop,$$,Vallejo,CA,94590,2.0
5TBY3ZjaWLTA3880E1WN4A,Ruthie's Caribbean Kitchen,$$,Vallejo,CA,94590,2.0
ma-IFK7XaRdVwA9lxNyMXA,Señor Sisig - Food Trucks,$$,San Francisco,CA,94104,2.0
7HxV_zeVkSvHIB9nxI3tTA,Kehaulani's Cafe,$$,Vallejo,CA,94591,2.0
BwlXdO_WyEl-ts7o5m2i_w,Vegan Heat,,Vallejo,CA,94589,
6weR54NJAUbZXULJ30Xlfw,Chardonnay Golf Club,,American Canyon,CA,94503,
TuBIlb0T1y_2BJCh3uUeJQ,Crush Lounge,$$,Napa,CA,94558,2.0
T91TtT8a6LNFbHX81ffcqw,Soultran's Seafood,$$,Vallejo,CA,94590,2.0
OMUnVcEhjD-y4V08EaBHug,3 Star Restaurant,$$,Vallejo,CA,94589,2.0
1wBMuYyJ7ajbEFUfwcFhUA,Liled's Candy Kitchen,$$,Vallejo,CA,94590,2.0
f-m7-hyFzkf0HSEeQ2s-9A,Fog Harbor Fish House,$$,San Francisco,CA,94133,2.0
oT08T3Vpn1I7jDmrBBRMTw,House of Prime Rib,$$$,San Francisco,CA,94109,3.0
WavvLdfdP6g8aZTtbBQHTw,Gary Danko,$$$$,San Francisco,CA,94109,4.0
KkAVX3Wb7E3lP5F_f_8pXg,Liholiho Yacht Club,$$$,San Francisco,CA,94109,3.0
Xg-FyjVKAN70LO4u4Z1ozg,Hog Island Oyster,$$,San Francisco,CA,94111,2.0
PsY5DMHxa5iNX_nX0T-qPA,Kokkari Estiatorio,$$$,San Francisco,CA,94111,3.0
ttarnopezxmp2ROB1N2PaA,Nopa,$$$,San Francisco,CA,94117,3.0
Tttm1r5Dw1sRMCfc3EQWPw,Boulevard,$$$$,San Francisco,CA,94105,4.0
HHtpR0RslupSQ99GIIwW5A,Marufuku Ramen,$$,San Francisco,CA,94115,2.0
mSMZJj2pFvttWLpcDmgrEA,Tony's Pizza Napoletana,$$,San Francisco,CA,94133,2.0
8dUaybEPHsZMgr1iKgqgMQ,Sotto Mare,$$,San Francisco,CA,94133,2.0
jqEpBbf_qNfWuz_GBkwCjw,Scoma's Restaurant,$$$,San Francisco,CA,94133,3.0
uBaXDGwJPUkOSLWxS2vZ9Q,Lazy Bear,$$$$,San Francisco,CA,94110,4.0
4KfQnlcSu4bbTqnvGdGptw,Beretta,$$,San Francisco,CA,94110,2.0
ykvr3ib1gHQHI4tznSn8iA,Wayfare Tavern,$$$,San Francisco,CA,94111,3.0
n6L5VIGunR51-D55C-eYeQ,Foreign Cinema,$$$,San Francisco,CA,94110,3.0
L5vSeC_sa3TUQW_lticqyA,Chapeau,$$$,San Francisco,CA,94118,3.0
cbkbw0-QUwRZWV49JpDCWA,Wildseed,$$,San Francisco,CA,94123,2.0
lJAGnYzku5zSaLnQ_T6_GQ,Brenda's French Soul Food,$$,San Francisco,CA,94102,2.0
i09UMzccKgyLwGYKDVP28w,Surisan,$$,San Francisco,CA,94133,2.0
J7_-faNq_Ag9qTOlDn81Pw,Starbelly,$$,San Francisco,CA,94114,2.0
wEpiKz--Z2b1q_FSCCNiow,Lolinda,$$$,San Francisco,CA,94110,3.0
CYttYTEiQuhSfo3SEh79fA,Shizen Vegan Sushi Bar & Izakaya,$$$,San Francisco,CA,94103,3.0
QZQGRJZ4bZCmNoXjs3z1XQ,State Bird Provisions,$$$,San Francisco,CA,94115,3.0
B09WOy0W83Od-Xw4xEXxog,Roma Antica,$$,San Francisco,CA,94123,2.0
HECB3khkUffaD2zWCngLuw,El Techo,$$,San Francisco,CA,94110,2.0
PTFxtXS47ZVRCdZIrEWvGw,Golden Boy Pizza,$,San Francisco,CA,94133,1.0
gqVl3RprESEqkIPeJH0yOg,Zazie,$$,San Francisco,CA,94117,2.0
8kck3-K4zYKTJbJko0JlXQ,Farmhouse Kitchen Thai Cuisine,$$,San Francisco,CA,94110,2.0
dTWMVRcMVC4zynbFQC7A2A,Seven Hills,$$$,San Francisco,CA,94109,3.0
kqk5BoCJU59MC9fH0IB4wQ,Kin Khao,$$$,San Francisco,CA,94102,3.0
r7RwvYMwxDuK3u26fHbYDA,Limón,$$,San Francisco,CA,94110,2.0
jcFf2ZnJYL0nWCdIpqiA-g,Trestle ,$$$,San Francisco,CA,94133,3.0
M0JTO3oyu6gxh1mfFjU-dA,San Tung,$$,San Francisco,CA,94122,2.0
xv8dq_jBNfQkHeX2wJGlAg,Coqueta,$$$,San Francisco,CA,94111,3.0
5PGFsnFhDlpYVDI3TRNH6w,Dancing Yak,$$,San Francisco,CA,94103,2.0
1hMD7RQogPDWpE-p3LKjXA,Loló,$$,San Francisco,CA,94110,2.0
_EncdQezAzcShATMFXL0dA,Tropisueño,$$,San Francisco,CA,94103,2.0
W97siDhQbWIVa0MEpcq9iA,Bistro Central Parc,$$,San Francisco,CA,94117,2.0
ZDvIMjJ-7I0561ckM4pAeA,Anchor Oyster Bar,$$,San Francisco,CA,94114,2.0
fPYCsVL3s0vM13jJeOWAig,Urban Putt,$$,San Francisco,CA,94110,2.0
eYXwVR4mMAjzkJnm5wneHQ,Burma Superstar,$$,San Francisco,CA,94118,2.0
dY0Mc_PHH6nLENvWmVtwxQ,Daeho Kalbijjim & Beef Soup,$$$,San Francisco,CA,94115,3.0
_D1Ev_zTZs5ijHkleK6C2w,Hillstone,$$$,San Francisco,CA,94111,3.0
UTVDbZv-qiHU06sDkoel3g,Chez Maman East,$$,San Francisco,CA,94107,2.0
XQLmEdXoMzOpffwoFaBtaQ,Kitchen Story,$$,San Francisco,CA,94114,2.0
Xdx2_n3nk9Td_aSe7E5ARQ,Rich Table,$$$,San Francisco,CA,94102,3.0
wxzx3duu1c0CcomzEOvfOQ,The Front Porch,$$,San Francisco,CA,94110,2.0
wGl_DyNxSv8KUtYgiuLhmA,Bi-Rite Creamery,$$,San Francisco,CA,94110,2.0
VPXezwmTETrwitrzj9BZPA,Dumpling Time,$$,San Francisco,CA,94103,2.0
K5ESVCjtXfESvoQSCQhiRw,Turner's Seafood - Salem,$$,Salem,MA,01970,2.0
OZyxZN4b28N-2Nezv8aaOQ,Mercy Tavern,$$,Salem,MA,01970,2.0
NXHW9lTvBYNuf-mWsu8eTg,Finz Seafood & Grill,$$,Salem,MA,01970,2.0
ulUnZmW8lg9_7xV-w-T3yg,Sea Level Oyster Bar,$$,Salem,MA,01970,2.0
2U4Egl45KNui0Xwn0pgLWg,Settler,,Salem,MA,01970,
H61GvE_VbTXtQbEgTPLchg,Howling Wolf Taqueria,$$,Salem,MA,01970,2.0
Y8_EtDceOKuwya1JDeJGjA,Ledger Restaurant & Bar,$$$,Salem,MA,01970,3.0
PDe3P0UXCi0zg3rMfJRuXw,Adriatic Restaurant & Bar,$$,Salem,MA,01970,2.0
L4ieX0R063RCfgMF2A5IUw,Blue Fez,$$,Salem,MA,01970,2.0
Vi7Qih_iAjq2BeVqdF_VFQ,The Tavern,$$,Salem,MA,01970,2.0
8n3O615TFxB38SHVriGJcg,Longboards Restaurant & Bar,$$,Salem,MA,01970,2.0
R_S9IPHQUFoiSWLK2Z4CAQ,Bit Bar Salem,$$,Salem,MA,01970,2.0
wVlxPWwFL-MrzCXim-UfWg,Bambolina Restaurant,$$,Salem,MA,01970,2.0
d43Mko5jODk7Et_ESsYndQ,Life Alive Organic Cafe Salem,$$,Salem,MA,01970,2.0
sj5zUO8vuyiSQE1HLd-oMw,Dube's,$$,Salem,MA,01970,2.0
8OEJOPdXTSdvLlqjg9X_Uw,Bella Verona,$$,Salem,MA,01970,2.0
mNniAHGi8ywnLQ5VNBnLHw,All Souls Lounge,,Salem,MA,01970,
Y5iX1uH14RcEDdHXYETC8g,The Derby,$$,Salem,MA,01970,2.0
R1cWYDhDCq5hIxKa8bKTRg,Rockafella's Restaurant,$$,Salem,MA,01970,2.0
Qr0MnUz8IKt8_1lKvXz8mw,Gulu Gulu Cafe,$$,Salem,MA,01970,2.0
0GEBiXjxVGLJAA-sULAuxQ,The Lobster Shanty,$$,Salem,MA,01970,2.0
EDMdszlXpBrP-sY-h4TXGg,Olde Main Street Pub,$$,Salem,MA,01970,2.0
DA3Kp6EUIu30hArcA33UbQ,Village Tavern,$$,Salem,MA,01970,2.0
bYVkqQFIMWngr86n1xW37Q,Flying Saucer Pizza Company,$$,Salem,MA,01970,2.0
oiO6V4iFTrT7jcxsH9INGQ,A & J King Artisan Bakers,$$,Salem,MA,01970,2.0
EfYS-pGZi_-I0c8kwLT0kA,Passage To India,$$,Salem,MA,01970,2.0
IRgsYIVjSZ0u2nm9gEqy5A,Ray Adea's Mediterranean Kitchen,$,Salem,MA,01970,1.0
LcWKb-GgnlfBntUYh1VvGg,The Tin Whistle,$$,Salem,MA,01970,2.0
TE2YOhF-yKeOonmwWRNlJQ,Deacon Giles Distillery,$$,Salem,MA,01970,2.0
OMF9EFdNGGL14cn7x4nk4g,The Blue Ox,$$$,Lynn,MA,01901,3.0
wcLWremQ6mAEQ0rh_QbPSg,Red's Sandwich Shop,$$,Salem,MA,01970,2.0
